URL,Ticket URL,Date,Title,Location
https://www.axs.com/events/500356			,https://seatgeek.com/zach-bryan-tickets/salt-lake-city-utah-delta-center-1-2024-12-06-8-pm/concert/6157467?aid=16139&pid=website&rid=100123&utm_medium=partnership&utm_source=delta_center_ticketing&utm_campaign=website&locale=en-US&axssid=su3k95nrb2srodd3jp5kip3smg,"FRI DEC 6, 2024 - 7:00 PM",Zach Bryan,"Delta Center,, Salt Lake City, UT "
https://www.axs.com/events/500350			,https://seatgeek.com/zach-bryan-tickets/salt-lake-city-utah-delta-center-1-2024-12-07-8-pm/concert/6157465?aid=16139&pid=website&rid=100123&utm_medium=partnership&utm_source=delta_center_ticketing&utm_campaign=website&locale=en-US&axssid=r22oa2mmp95tn4sdgn4rf1a899,"SAT DEC 7, 2024 - 7:00 PM",Zach Bryan,"Delta Center,, Salt Lake City, UT "
https://www.axs.com/events/498642			,,,,
